job_titles,Creation date,employer,location,Job_Type
Data-Engineer (Data Engineer),25/05/2023,outsourcing4work GmbH,Germany : Hamburg,Full-time
Data Engineer (Data Engineer),19/05/2023,Universitätsklinikum Carl Gustav Carus der Technischen Universität,"Germany : Dresden, Kreisfreie Stadt",Full-time
Data Engineer (Data Engineer),17/05/2023,aifora GmbH,"Germany : Düsseldorf, Kreisfreie Stadt",Full-time
Data Engineer* - Data Pipelines (Data Engineer),19/05/2023,Zentrale der Fraunhofer Gesellschaft e.V.,Germany : Rhein-Sieg-Kreis,Full-time
Data Engineer (m/w/d) (Data Engineer),30/05/2023,Heise Medien GmbH & Co. KG,Germany : Region Hannover,Full-time
Data Engineer (m/w/d) (Data Engineer),30/05/2023,Deutsche Bahn AG,"Germany : Berlin , Frankfurt am Main, Kreisfreie Stadt , Erfurt, Kreisfreie Stadt",Full-time
Data Engineer (w/m/d) (Data Engineer),30/05/2023,KIND GmbH & Co. KG,Germany : Region Hannover,Full-time
Data Engineer (m/w/d) (Data Engineer),29/05/2023,SIMunich GmbH,Germany : Hamburg,Full-time
Data Engineer (m/w/d) (Data Engineer),26/05/2023,FERCHAU GmbH Niederlassung Heidenheim,Germany : Ostalbkreis,Full-time
Data Engineer (m/w/d) (Data Engineer),26/05/2023,krauth technology GmbH,"Germany : Heidelberg, Stadtkreis",Full-time
Data Engineer (m/w/d) (Data Engineer),25/05/2023,Bartels-Langness Handelsgesell schaft mbH & Co. KG,"Germany : Kiel, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Data Engineer),24/05/2023,Universitätsklinikum Carl Gustav Carus Dresden,"Germany : Dresden, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Data Engineer),22/05/2023,FERCHAU GmbH Niederlassung Osnabrück,"Germany : Osnabrück, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Data Engineer),21/05/2023,Schmieder GmbH Unternehmensberatung,Germany : Ravensburg,Full-time
Data Engineer (w/m/d) (Data Engineer),19/05/2023,ion2s GmbH,"Germany : Darmstadt, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Data Engineer),18/05/2023,E.ON Energie Deutschland GmbH,"Germany : Essen, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Data Engineer),17/05/2023,SIMO UG (haftungsbeschränkt),Germany : Miltenberg,"Flexible,"
Data Engineer (w/m/d) (Data Engineer),15/05/2023,Fagus-GreCon Greten GmbH & Co. KG,Germany : Hildesheim,Full-time
Data Engineer (m/w/d) (Data Engineer),12/05/2023,FERCHAU GmbH Niederlassung Frankfurt,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Data Engineer),12/05/2023,REMONDIS IT Services GmbH & Co. KG,Germany : Unna,Full-time
Data Engineer (m/w/d) (Data Engineer),26/04/2023,Allgeier IT GmbH Düsseldorf,Germany : Berlin,Full-time
Data Engineer (m/w/d) Data & Analytics (Data Engineer),29/05/2023,MID GmbH,"Germany : Nürnberg, Kreisfreie Stadt",Full-time
(Senior) Data Engineer (all gender) (Data Engineer),30/05/2023,ALTEN GmbH Coburg,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer:in (Data Engineer),30/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Data Analyst / Data Engineer (m/f/d) (Data Engineer),30/05/2023,VEACT GmbH,"Germany : München, Kreisfreie Stadt",Full-time
BI Data Engineer / Data Architect (m/w/d) (Data Engineer),24/05/2023,Nagel-Group Logistics Europa AG,Germany : Gütersloh,Full-time
Senior Data Engineer Data & Personalisation (m/w/d) (Data Engineer),22/05/2023,Lidl Digital,Germany : Berlin,Full-time
"Data Engineer / Data Architect (m/w/d) ""MwM"" (Data Engineer)",18/05/2023,SIGNAL IDUNA Krankenversicheru ng a. G.,"Germany : Hamburg , Dortmund, Kreisfreie Stadt",Full-time
Senior Data Engineer Data & Personalisation (m/f/d) (Data Engineer),15/05/2023,Lidl Digital,Germany : Berlin,Full-time
Microsoft Data Analyst / Data Engineer (m/f/d) (Data Engineer),09/05/2023,Prodware Deutschland AG,"Germany : Hamburg , Fürstenfeldbruck",Full-time
